/*
missings coded as: NaN 
sample: 1972.1 -- 1998.4 
West German data until 1990.2, all of Germany aferwards
m - log of real M3 (source: Monatsberichte der Deutschen Bundesbank,
                    quarterly values are values of last month of quarter) 
gnp - log of real GNP (source: Deutsches Institut für Wirtschaftsforschung,
                               Volkswirtschaftliche Gesamtrechnung)   
Dp - \Delta log gdp deflator (source: Deutsches Institut für Wirtschaftsforschung,
                              Volkswirtschaftliche Gesamtrechnung)
R - nominal long term interest rate (Umlaufsrendite) 
                   (source: Monatsberichte der Deutschen Bundesbank,
                    quarterly values are values of last month of quarter)
*/
<1972 Q1>
 Dp              R               gnp             m               
NaN                  0.078                5.961                6.5345               
-0.00313258          0.083                6.01347              6.58165              
0.0188713            0.083                6.05067              6.58576              
0.0248036            0.087                6.08836              6.63621              
0.0162776            0.087                6.02465              6.62197              
2.89679E-4           0.102                6.06239              6.63904              
0.016829             0.098                6.0947               6.62717              
0.0385835            0.097                6.11875              6.66495              
-0.00144386          0.107                6.03811              6.64997              
0.0127239            0.109                6.06727              6.65457              
0.0238972            0.108                6.09198              6.62619              
0.0427728            0.099                6.1039               6.66292              
-0.0103779           0.089                6.00636              6.64612              
0.00558424           0.084                6.0476               6.64879              
0.00870609           0.087                6.08017              6.65763              
0.0389199            0.086                6.12007              6.70227              
-0.0196176           0.078                6.06333              6.69677              
0.00731993           0.083                6.1097               6.72067              
0.0180764            0.081                6.12139              6.71439              
0.0237775            0.074                6.17379              6.75336              
-0.0144377           0.07                 6.1021               6.75057              
0.0110059            0.064                6.12995              6.75711              
0.0104017            0.06                 6.13859              6.77342              
0.0354648            0.06                 6.20091              6.81683              
-0.0157599           0.056                6.12927              6.80284              
0.0100193            0.06                 6.16709              6.81721              
0.0180621            0.064                6.17932              6.82765              
0.0256915            0.066                6.23108              6.8831               
-0.0170689           0.071                6.16458              6.87222              
0.00350475           0.08                 6.2154               6.88999              
0.0256438            0.078                6.22099              6.86533              
0.0315075            0.08                 6.26777              6.89812              
-0.0132775           0.095                6.20617              6.88282              
0.0130968            0.083                6.2194               6.87556              
0.0151458            0.083                6.22396              6.86534              
0.0312119            0.091                6.25881              6.9122               
-0.0207896           0.104                6.19604              6.90002              
0.0104489            0.111                6.21674              6.90746              
0.018106             0.113                6.23028              6.89357              
0.0405002            0.099                6.26701              6.9124               
-0.0201483           0.096                6.18846              6.91461              
0.00380802           0.092                6.21361              6.92853              
0.0215569            0.088                6.21241              6.91527              
0.0327106            0.08                 6.25114              6.94296              
-0.0201726           0.074                6.19482              6.94862              
-0.00333166          0.081                6.2293               6.96025              
0.0192871            0.084                6.23402              6.94849              
0.0345473            0.083                6.28748              6.96402              
-0.0262156           0.079                6.23618              6.956                
-0.00519753          0.081                6.24398              6.9755               
0.0132318            0.077                6.26948              6.97121              
0.0374279            0.07                 6.31788              6.99091              
-0.0291948           0.077                6.23637              6.99123              
-0.00261354          0.07                 6.27382              7.00914              
0.0172353            0.064                6.29913              6.99358              
0.0376387            0.066                6.33452              7.01622              
-0.0204763           0.06                 6.24727              7.0107               
9.00269E-4           0.06                 6.3039               7.02674              
0.0125732            0.058                6.32166              7.02609              
0.0344677            0.06                 6.36095              7.05285              
-0.0220394           0.056                6.2653               7.05565              
-0.00202703          0.055                6.31065              7.07575              
0.00173426           0.062                6.33718              7.07606              
0.0365901            0.058                6.38181              7.09571              
-0.0252557           0.056                6.31282              7.10205              
9.2268E-4            0.06                 6.34405              7.12311              
0.00451374           0.063                6.37145              7.12484              
0.0383272            0.062                6.41133              7.14427              
-0.0211368           0.07                 6.36217              7.14567              
-5.33104E-4          0.071                6.39593              7.15213              
0.00981092           0.071                6.40125              7.14811              
0.0373549            0.078                6.44477              7.17265              
-0.016232            0.09                 6.41198              7.15385              
0.00197124           0.09                 6.43583              7.16127              
0.00687361           0.091                6.55352              7.30477              
0.0274582            0.09                 6.5863               7.3325               
-0.0140786           0.086                6.54936              7.31898              
0.0166497            0.086                6.5755               7.30985              
0.0144682            0.088                6.58769              7.30444              
0.043004             0.087                6.60652              7.33357              
-0.0127769           0.082                6.57589              7.32797              
0.00927353           0.084                6.58856              7.33679              
0.0179157            0.082                6.60241              7.3467               
0.030508             0.074                6.62434              7.36168              
-0.0105906           0.065                6.54249              7.36061              
0.00747108           0.067                6.57554              7.38397              
0.00467587           0.061                6.59604              7.3783               
0.0310678            0.056                6.61087              7.43283              
-0.0153685           0.062                6.56713              7.43792              
8.10146E-4           0.069                6.6003               7.44464              
0.00806475           0.074                6.61497              7.4261               
0.0287657            0.074                6.63374              7.42635              
-0.0183783           0.071                6.58246              7.40921              
0.00449467           0.064                6.61517              7.40888              
0.00988674           0.061                6.62338              7.40494              
0.0245948            0.055                6.63447              7.44146              
-0.0185189           0.058                6.58592              7.45798              
-0.00590181          0.059                6.621                7.47253              
0.00581503           0.055                6.63505              7.47568              
0.0243654            0.051                6.65308              7.51901              
-0.0157485           0.051                6.58938              7.51349              
-0.00749254          0.05                 6.65172              7.52775              
0.00388288           0.051                6.6672               7.52303              
0.0242448            0.051                6.67623              7.5492               
-0.014647            0.047                6.62972              7.54761              
-0.00204897          0.047                6.66336              7.5579               
0.00247526           0.041                6.68982              7.55996              
0.0239234            0.038                6.69566              7.61039              
